domain,founding_year,country,city,funding_stage,total_funding_usd_millions,valuation_usd_millions,revenue_arr_millions,monthly_burn_rate_millions,runway_months_2024,peak_headcount_2023,layoffs_2024_2025,current_headcount_2026,investor_tier,ai_adoption_level,acquisition_status,founding_year_age,total_funding_usd_millions_log1p,valuation_usd_millions_log1p,revenue_arr_millions_log1p,funding_per_employee,valuation_to_revenue,layoff_rate
FinTech,2020,USA,Miami,Seed,1.89,19.43,2.16,0.55,2.9,28,12,16,Tier 3 (Angel/Seed),High,IPO,6,1.0612565021243408,3.0170044088295307,1.1505720275988207,0.118125,8.99537037037037,0.42857142857142855
HealthTech,2013,USA,New York,Seed,1.21,24.6,0.85,0.67,1.6,48,0,48,Tier 2 (Mid-size VC),High,Independent,13,0.7929925155296614,3.242592351485517,0.6151856390902334,0.025208333333333333,28.94117647058824,0.0
HealthTech,2021,USA,San Francisco,Seed,0.43,16.99,0.62,0.17,1.6,9,4,5,Tier 3 (Angel/Seed),High,Acquired,5,0.35767444427181594,2.8898160479624417,0.4824261492442927,0.086,27.403225806451612,0.4444444444444444
ClimateTech,2018,USA,Miami,Seed,0.98,16.94,1.05,0.22,3.1,15,0,15,Tier 3 (Angel/Seed),Medium,Independent,8,0.6830968447064438,2.88703285663065,0.7178397931503169,0.06533333333333333,16.133333333333333,0.0
Generative AI,2020,USA,Seattle,Seed,3.65,31.53,3.67,0.51,6.0,28,0,28,Tier 2 (Mid-size VC),High,Independent,6,1.536867219599265,3.48216274048526,1.541159071680806,0.13035714285714287,8.591280653950955,0.0
Robotics,2020,China,Shanghai,Seed,9.49,43.46,1.97,0.31,23.1,18,0,18,Tier 3 (Angel/Seed),High,Independent,6,2.3504224224082058,3.7945899085360506,1.0885619528146082,0.5272222222222223,22.060913705583758,0.0
HealthTech,2019,India,Hyderabad,Series A,10.84,138.72,8.16,0.66,14.3,36,0,36,Tier 2 (Mid-size VC),Low,Closed,7,2.4714836294558595,4.939640419938631,2.214846178686039,0.3011111111111111,17.0,0.0
Generative AI,2021,India,Mumbai,Seed,22.76,95.19,5.61,2.38,9.2,121,40,81,"Tier 1 (e.g. Sequoia, a16z)",High,Independent,5,3.168003494494444,4.566325402164524,1.888583653863595,0.28098765432098766,16.96791443850267,0.3305785123966942
Web3/Crypto,2021,USA,Boston,Seed,2.83,25.88,3.96,0.65,3.8,42,32,10,Tier 3 (Angel/Seed),High,Closed,5,1.3428648031925547,3.2913825156549485,1.601405740736836,0.28300000000000003,6.5353535353535355,0.7619047619047619
Cybersecurity,2012,USA,Seattle,Series A,9.66,115.93,7.59,0.42,18.6,35,0,35,Tier 2 (Mid-size VC),High,Independent,14,2.3664984187376983,4.7615754651522275,2.150598735996164,0.276,15.274044795783928,0.0
Web3/Crypto,2020,USA,New York,Seed,6.43,31.24,1.56,0.57,9.6,37,25,12,Tier 3 (Angel/Seed),Low,Closed,6,2.005525858729668,3.4732079176384274,0.9400072584914712,0.5358333333333333,20.025641025641026,0.6756756756756757
ClimateTech,2016,China,Shanghai,Seed,2.4,48.2,6.12,0.4,4.8,28,0,28,Tier 2 (Mid-size VC),,Independent,10,1.2237754316221157,3.8958936234982624,1.9629077254238845,0.08571428571428572,7.875816993464053,0.0
HealthTech,2021,USA,San Francisco,Series A,0.0,10.07,0.47,0.51,0.0,37,21,16,Bootstrapped,Medium,Closed,5,0.0,2.4042387467205457,0.3852624007906449,0.0,21.425531914893618,0.5675675675675675
Cybersecurity,2013,China,Beijing,Pre-IPO,117.16,1358.55,219.11,4.5,25.5,363,61,302,Tier 2 (Mid-size VC),High,Acquired,13,4.7720396382231245,7.214909041623512,5.394127421394012,0.38794701986754965,6.20031034640135,0.16804407713498623
Generative AI,2020,India,Mumbai,Series A,31.69,304.63,14.75,2.11,14.3,107,0,107,Tier 3 (Angel/Seed),Medium,Independent,6,3.487069220736119,5.7223752200135145,2.7568403652716422,0.2961682242990654,20.6528813559322,0.0
Web3/Crypto,2018,China,Shenzhen,Seed,1.56,29.98,1.24,0.48,2.7,46,0,46,Tier 2 (Mid-size VC),Medium,Independent,8,0.9400072584914712,3.4333418349887226,0.8064758658669484,0.03391304347826087,24.17741935483871,0.0
FinTech,2021,China,Shanghai,Series A,9.76,97.02,3.75,0.9,9.8,57,0,57,"Tier 1 (e.g. Sequoia, a16z)",Medium,Independent,5,2.3758355547336385,4.585171539481402,1.55814461804655,0.1712280701754386,25.872,0.0
Generative AI,2022,Japan,Kyoto,Post-IPO,3604.28,32720.77,3557.81,139.57,25.8,12678,0,12678,"Tier 1 (e.g. Sequoia, a16z)",Medium,Independent,4,8.19015471660581,10.395795884608106,8.177181498302598,0.2842940526896987,9.196885162501651,0.0
EdTech,2017,Germany,Berlin,Seed,0.83,11.32,0.43,0.67,1.1,43,0,43,Tier 3 (Angel/Seed),Medium,Closed,9,0.6043159668533294,2.511223958105374,0.35767444427181594,0.019302325581395347,26.325581395348838,0.0
Robotics,2021,Singapore,Singapore,Seed,0.2,10.28,0.42,0.39,0.4,27,0,27,Corporate VC (e.g. Google Ventures),Medium,Independent,5,0.18232155679395465,2.423031246069913,0.3506568716131694,0.007407407407407408,24.476190476190474,0.0
Generative AI,2016,USA,Austin,Seed,10.14,68.08,10.38,0.64,13.7,51,0,51,Tier 3 (Angel/Seed),,Independent,10,2.410542234499138,4.235265253278478,2.431857428698185,0.1988235294117647,6.558766859344893,0.0
Cybersecurity,2019,USA,Seattle,Seed,1.53,16.18,0.7,0.66,2.0,45,18,27,Tier 3 (Angel/Seed),High,Independent,7,0.9282193027394289,2.8437459165561094,0.5306282510621704,0.05666666666666667,23.114285714285714,0.4
Robotics,2019,China,Shenzhen,Seed,0.28,9.6,0.37,0.44,0.5,30,0,30,Tier 2 (Mid-size VC),Low,Independent,7,0.2468600779315258,2.3608540011180215,0.31481073984003355,0.009333333333333334,25.945945945945944,0.0
EdTech,2015,USA,New York,Series A,3.3,42.85,2.3,0.68,4.2,48,23,25,Tier 2 (Mid-size VC),,Independent,11,1.4586150226995167,3.780774718818192,1.1939224684724346,0.132,18.6304347826087,0.4791666666666667
ClimateTech,2016,USA,San Francisco,Series A,0.95,23.46,1.9,1.01,0.9,51,23,28,Tier 3 (Angel/Seed),High,Acquired,10,0.6678293725756554,3.1970391302590264,1.0647107369924282,0.033928571428571426,12.347368421052632,0.45098039215686275
HealthTech,2015,China,Hangzhou,Seed,0.88,24.45,1.0,0.5,1.5,26,18,8,Tier 2 (Mid-size VC),,Closed,11,0.6312717768418579,3.2367157429965316,0.6931471805599453,0.11,24.45,0.6923076923076923
Generative AI,2021,USA,San Francisco,Series B,88.95,1067.75,96.35,4.22,20.6,288,0,288,Tier 3 (Angel/Seed),Medium,Independent,5,4.499253960396542,6.97424502025097,4.578312731818208,0.30885416666666665,11.081992734820966,0.0
ClimateTech,2018,USA,Boston,Seed,0.8,21.87,1.55,0.28,2.1,20,8,12,Tier 2 (Mid-size VC),High,Independent,8,0.5877866649021191,3.12982600803469,0.9360933591703349,0.06666666666666667,14.109677419354838,0.4
SpaceTech,2019,USA,Austin,Seed,3.81,50.56,4.25,0.27,10.3,24,0,24,"Tier 1 (e.g. Sequoia, a16z)",High,Independent,7,1.57069708411767,3.9427461780709865,1.6582280766035324,0.15875,11.896470588235294,0.0
HealthTech,2014,India,Hyderabad,Series A,4.0,40.07,2.24,0.24,11.8,14,0,14,Tier 2 (Mid-size VC),High,Independent,12,1.6094379124341003,3.7152779279684673,1.1755733298042381,0.2857142857142857,17.888392857142854,0.0
Robotics,2018,USA,San Francisco,Series A,2.91,27.06,1.86,0.3,7.3,17,0,17,Tier 2 (Mid-size VC),,Independent,8,1.3635373739972745,3.3343450746743146,1.0508216248317612,0.1711764705882353,14.548387096774192,0.0
Generative AI,2020,USA,San Francisco,Seed,6.88,74.52,2.88,0.24,20.2,19,0,19,Tier 2 (Mid-size VC),,IPO,6,2.064327903869788,4.324397521837245,1.355835153635182,0.3621052631578947,25.875,0.0
Generative AI,2020,USA,Boston,Series B,28.51,347.0,12.56,1.39,19.1,109,0,109,Tier 2 (Mid-size VC),Medium,Independent,6,3.3847291889548483,5.8522024797744745,2.6071242825122494,0.26155963302752294,27.627388535031844,0.0
Generative AI,2020,Israel,Tel Aviv,Pre-IPO,378.69,3456.07,118.4,10.96,34.2,969,0,969,"Tier 1 (e.g. Sequoia, a16z)",Medium,Independent,6,5.939355130309431,8.148176688487231,4.782479200958502,0.39080495356037154,29.189780405405404,0.0
Generative AI,2020,USA,San Francisco,Series B,120.59,604.08,30.8,3.2,36.5,217,0,217,"Tier 1 (e.g. Sequoia, a16z)",High,Independent,6,4.800654729308327,6.405360680693999,3.459466289786131,0.5557142857142857,19.612987012987013,0.0
Web3/Crypto,2020,USA,Miami,Seed,0.7,15.06,2.41,0.18,2.5,10,7,3,Tier 2 (Mid-size VC),Medium,Acquired (Fire Sale),6,0.5306282510621704,2.7763317085186157,1.2267122912954254,0.2333333333333333,6.24896265560166,0.7
FinTech,2020,Japan,Tokyo,Series A,3.09,49.99,3.91,0.39,6.3,28,0,28,Tier 3 (Angel/Seed),Low,Independent,6,1.4085449700547104,3.9316295350670645,1.5912739418064292,0.11035714285714285,12.785166240409207,0.0
Generative AI,2022,USA,Seattle,Seed,2.58,43.82,1.52,0.85,2.7,45,24,21,"Tier 1 (e.g. Sequoia, a16z)",Medium,Acquired (Fire Sale),4,1.275362800412609,3.802654468372781,0.9242589015233319,0.12285714285714286,28.82894736842105,0.5333333333333333
Cybersecurity,2023,Germany,Berlin,Series B,6.42,66.25,3.63,0.35,14.3,28,6,22,Corporate VC (e.g. Google Ventures),Medium,Independent,3,2.004179057179289,4.208417018481948,1.5325568680981427,0.2918181818181818,18.25068870523416,0.21428571428571427
Robotics,2024,Israel,Jerusalem,Seed,2.35,26.42,3.33,0.36,5.1,26,0,26,Tier 3 (Angel/Seed),Medium,Acquired,2,1.208960345836975,3.3112726741341683,1.4655675420143985,0.09038461538461538,7.933933933933934,0.0
ClimateTech,2020,China,Beijing,Seed,1.4,27.6,1.96,0.13,6.1,11,0,11,Tier 3 (Angel/Seed),Medium,Independent,6,0.8754687373538999,3.353406717825807,1.085189268335969,0.12727272727272726,14.081632653061225,0.0
Cybersecurity,2012,USA,Boston,Series C+,47.56,425.46,29.57,3.61,12.8,268,54,214,"Tier 1 (e.g. Sequoia, a16z)",Low,IPO,14,3.8828001467512427,6.055518575898088,3.420019135902743,0.2222429906542056,14.388231315522487,0.20149253731343283
Robotics,2020,USA,New York,Seed,3.25,39.44,2.97,0.72,4.0,54,29,25,Tier 3 (Angel/Seed),Medium,Closed,6,1.4469189829363254,3.6998193941522706,1.3787660946990992,0.13,13.279461279461279,0.5370370370370371
Web3/Crypto,2018,USA,New York,Series C+,20.04,93.72,3.99,1.17,15.8,72,42,30,Corporate VC (e.g. Google Ventures),Medium,Closed,8,3.046425387869509,4.550925171135695,1.6074359097634274,0.6679999999999999,23.488721804511275,0.5833333333333334
ClimateTech,2019,USA,Boston,Seed,3.6,25.6,1.1,0.55,5.5,28,12,16,Tier 3 (Angel/Seed),High,Closed,7,1.5260563034950492,3.2809112157876537,0.7419373447293773,0.225,23.272727272727273,0.42857142857142855
SpaceTech,2022,Germany,Munich,Series C+,118.38,378.78,16.19,8.2,14.3,592,150,442,Corporate VC (e.g. Google Ventures),Medium,Independent,4,4.782311682740504,5.939592137697271,2.844327819394758,0.26782805429864254,23.39592340951204,0.2533783783783784
HealthTech,2022,USA,Austin,Series A,4.22,54.91,5.88,0.5,7.0,31,0,31,Tier 3 (Angel/Seed),Low,Closed,4,1.6524974018945473,4.0237432550385535,1.9286186519452522,0.1361290322580645,9.33843537414966,0.0
Generative AI,2021,Israel,Tel Aviv,Seed,1.24,28.14,2.0,0.32,3.0,32,0,32,Tier 3 (Angel/Seed),Medium,Independent,5,0.8064758658669484,3.3721118007670587,1.0986122886681098,0.03875,14.07,0.0
Generative AI,2021,India,Hyderabad,Series A,24.85,252.62,11.88,3.76,6.4,257,134,123,Tier 2 (Mid-size VC),Medium,Acquired (Fire Sale),5,3.2523106009544382,5.535837083806753,2.5556757206762075,0.20203252032520327,21.264309764309765,0.5214007782101168
Generative AI,2021,USA,Austin,Seed,7.72,53.19,2.05,0.6,11.0,33,14,19,"Tier 1 (e.g. Sequoia, a16z)",Low,Closed,5,2.1656192379208883,3.9924963895780228,1.1151415906193203,0.4063157894736842,25.946341463414637,0.42424242424242425
Cybersecurity,2021,India,Hyderabad,Seed,1.56,29.58,2.35,0.31,3.8,19,8,11,Tier 3 (Angel/Seed),Low,Independent,5,0.9400072584914712,3.420346200500916,1.208960345836975,0.14181818181818182,12.58723404255319,0.42105263157894735
Cybersecurity,2022,Germany,Munich,Series A,3.35,31.91,1.1,0.67,4.4,44,0,44,Tier 2 (Mid-size VC),Medium,Closed,4,1.4701758451005926,3.4937765629552486,0.7419373447293773,0.07613636363636364,29.009090909090908,0.0
Generative AI,2013,India,Mumbai,Series A,55.5,489.66,51.9,3.11,17.3,177,0,177,Tier 3 (Angel/Seed),Medium,Independent,13,4.034240638152395,6.1957514235718865,3.9684033388642534,0.3135593220338983,9.434682080924857,0.0
Web3/Crypto,2018,USA,San Francisco,Series B,0.0,28.88,1.97,0.25,0.0,23,20,3,Bootstrapped,Medium,Closed,8,0.0,3.3971893602646164,1.0885619528146082,0.0,14.65989847715736,0.8695652173913043
Autonomous Vehicles,2019,India,Hyderabad,Pre-IPO,157.66,1063.36,47.01,5.11,30.3,419,68,351,Tier 2 (Mid-size VC),Low,Closed,7,5.066763547873856,6.970128958540197,3.8714093225428488,0.44917378917378914,22.61986811316741,0.162291169451074
Web3/Crypto,2019,UK,Oxford,Pre-IPO,188.36,1920.76,79.45,11.81,15.8,630,305,325,Tier 3 (Angel/Seed),Low,Independent,7,5.243649965205728,7.5609967118061805,4.387635873438392,0.5795692307692308,24.17570799244808,0.48412698412698413
Robotics,2019,USA,Miami,Series C+,21.29,106.92,4.37,1.57,12.7,103,0,103,Tier 3 (Angel/Seed),Low,Independent,7,3.1041381473977774,4.6813902118995,1.6808279085207734,0.20669902912621357,24.466819221967963,0.0
Generative AI,2020,Singapore,Singapore,Seed,3.67,18.6,0.63,0.21,11.8,15,0,15,Tier 3 (Angel/Seed),Medium,Acquired,6,1.541159071680806,2.975529566236472,0.48858001481867097,0.24466666666666667,29.523809523809526,0.0
Web3/Crypto,2019,China,Shanghai,Seed,1.76,14.19,0.66,0.65,2.3,37,34,3,Corporate VC (e.g. Google Ventures),High,Closed,7,1.0152306797290584,2.7206373166076814,0.5068176023684519,0.5866666666666667,21.5,0.918918918918919
Generative AI,2022,USA,Boston,Series B,24.34,111.22,14.87,1.59,14.4,150,0,150,Corporate VC (e.g. Google Ventures),Medium,Independent,4,3.232384174892993,4.720461230322826,2.7644305345383176,0.16226666666666667,7.4794889038332215,0.0
Web3/Crypto,2018,India,Delhi NCR,Series A,22.26,181.8,8.54,2.84,7.6,167,144,23,Corporate VC (e.g. Google Ventures),Medium,Closed,8,3.1467351470905185,5.20839265902005,2.255493485460195,0.9678260869565218,21.288056206088996,0.8622754491017964
ClimateTech,2016,USA,Miami,Series B,18.58,210.78,7.83,0.73,22.4,64,0,64,"Tier 1 (e.g. Sequoia, a16z)",,Acquired,10,2.9745086371023644,5.355548000002308,2.178155014615869,0.2903125,26.919540229885058,0.0
Cybersecurity,2018,Canada,Montreal,Series A,8.83,89.51,3.89,0.63,12.1,52,3,49,"Tier 1 (e.g. Sequoia, a16z)",Medium,Acquired,8,2.285438934159075,4.505460341839079,1.5871923034867808,0.18020408163265306,23.010282776349616,0.057692307692307696
HealthTech,2023,China,Shanghai,Series B,87.01,372.35,13.26,2.34,35.7,209,0,209,"Tier 1 (e.g. Sequoia, a16z)",High,IPO,3,4.47745044438572,5.922516317481711,2.65745841498615,0.41631578947368425,28.080693815987935,0.0
ClimateTech,2019,USA,Austin,Series C+,187.65,1817.65,294.21,12.67,14.7,818,249,569,Corporate VC (e.g. Google Ventures),High,Closed,7,5.23989344641032,7.5058497465903224,5.687686967491315,0.3297891036906854,6.178070085992999,0.30440097799511
Robotics,2019,USA,Miami,Series A,13.52,154.0,5.27,0.7,16.9,43,0,43,Tier 2 (Mid-size VC),High,Independent,7,2.67552700939665,5.043425116919247,1.8357763546448294,0.3144186046511628,29.222011385199245,0.0
Generative AI,2018,USA,Boston,Seed,5.27,68.55,9.79,0.22,16.5,13,0,13,Tier 2 (Mid-size VC),Medium,Independent,8,1.8357763546448294,4.242045918369452,2.378619779270043,0.40538461538461534,7.002042900919306,0.0
Cybersecurity,2020,India,Delhi NCR,Pre-IPO,144.57,515.48,45.68,5.77,24.6,366,85,281,Corporate VC (e.g. Google Ventures),Medium,Independent,6,4.980657070576569,6.24703656564153,3.8433158074183553,0.5144839857651246,11.284588441331,0.23224043715846995
Web3/Crypto,2014,India,Bengaluru,Series A,6.31,64.52,4.34,0.59,9.1,47,31,16,Tier 3 (Angel/Seed),Low,Closed,12,1.9892432737616872,4.182355439544814,1.6752256529721035,0.394375,14.866359447004609,0.6595744680851063
Web3/Crypto,2016,China,Shenzhen,Series C+,309.67,1532.81,74.66,14.43,21.3,790,386,404,"Tier 1 (e.g. Sequoia, a16z)",Low,Independent,10,5.738731255573653,7.335510115064363,4.326249619204883,0.7665099009900991,20.530538440932226,0.48860759493670886
Robotics,2016,Canada,Montreal,Series C+,119.3,1100.81,40.73,5.78,20.3,384,72,312,Tier 2 (Mid-size VC),High,IPO,10,4.789988622980633,7.004709561054789,3.731220294603461,0.38237179487179485,27.027007120058926,0.1875
Web3/Crypto,2019,China,Hangzhou,Seed,0.77,12.85,0.83,0.42,1.5,38,32,6,Tier 3 (Angel/Seed),,Closed,7,0.5709795465857378,2.6282852326333477,0.6043159668533294,0.12833333333333333,15.481927710843374,0.8421052631578947
Web3/Crypto,2017,UK,Oxford,Seed,1.49,26.78,0.95,0.17,5.5,17,14,3,Tier 2 (Mid-size VC),Medium,Acquired (Fire Sale),9,0.9122827104766162,3.3243163373261977,0.6678293725756554,0.49666666666666665,28.18947368421053,0.8235294117647058
FinTech,2020,USA,Boston,Series B,24.2,223.76,8.59,1.73,13.2,135,48,87,Tier 3 (Angel/Seed),Medium,Independent,6,3.2268439945173775,5.415033166243997,2.2607208888953467,0.27816091954022987,26.048894062863795,0.35555555555555557
Generative AI,2022,Japan,Tokyo,Series C+,480.39,5089.53,257.53,28.91,16.6,1934,0,1934,Tier 3 (Angel/Seed),Medium,Independent,4,6.176677752387058,8.535137229860599,5.555011741373328,0.24839193381592553,19.762862579116998,0.0
ClimateTech,2020,Germany,Munich,Post-IPO,96.22,568.5,94.9,5.24,18.0,435,0,435,Tier 2 (Mid-size VC),High,Acquired,6,4.576976451617309,6.3447587828872365,4.563305981889393,0.22119540229885057,5.990516332982086,0.0
Generative AI,2020,USA,Austin,Series B,55.99,326.82,22.08,4.49,12.2,248,0,248,Tier 3 (Angel/Seed),High,Independent,6,4.0428758138469085,5.792464677261214,3.138966441639899,0.22576612903225807,14.80163043478261,0.0
Web3/Crypto,2018,Singapore,Singapore,Series C+,48.96,425.01,16.96,2.64,17.9,140,99,41,"Tier 1 (e.g. Sequoia, a16z)",Low,Acquired (Fire Sale),8,3.911222685257377,6.05446282017226,2.8881470628740535,1.1941463414634146,25.059551886792452,0.7071428571428572
FinTech,2015,USA,Austin,Pre-IPO,220.12,1434.84,71.6,10.67,20.4,963,225,738,Tier 3 (Angel/Seed),High,Independent,11,5.398705540579305,7.2695053227876185,4.28496492183075,0.2982655826558266,20.039664804469275,0.2336448598130841
EdTech,2018,USA,Seattle,Series C+,44.42,343.91,46.77,3.04,14.1,173,45,128,Corporate VC (e.g. Google Ventures),Medium,Independent,8,3.8159525366774125,5.843283513433758,3.8663978274018707,0.34703125,7.353217874706008,0.26011560693641617
FinTech,2020,USA,San Francisco,Series A,4.33,49.69,3.83,0.35,9.6,23,0,23,Corporate VC (e.g. Google Ventures),Medium,Acquired,6,1.673351238177753,3.925728652484258,1.5748464676644813,0.1882608695652174,12.973890339425587,0.0
Web3/Crypto,2012,France,Paris,Series A,10.78,116.75,3.95,1.18,8.4,65,50,15,Tier 3 (Angel/Seed),High,Acquired (Fire Sale),14,2.4664031782234406,4.768563732896527,1.599387576580599,0.7186666666666667,29.556962025316455,0.7692307692307693
Web3/Crypto,2014,Singapore,Singapore,Series B,34.02,220.28,33.31,1.66,19.3,110,55,55,Tier 2 (Mid-size VC),,Independent,12,3.555919326857706,5.399428867916448,3.5354368568703585,0.6185454545454546,6.613029120384269,0.5
EdTech,2018,USA,Austin,Series B,11.71,156.03,12.82,0.92,11.5,51,13,38,Corporate VC (e.g. Google Ventures),,Acquired,8,2.542389085201363,5.056436869896863,2.626116818339524,0.30815789473684213,12.170826833073322,0.2549019607843137
FinTech,2021,India,Delhi NCR,Post-IPO,977.15,9130.75,760.26,45.14,21.6,2576,0,2576,"Tier 1 (e.g. Sequoia, a16z)",High,IPO,5,6.885663032507321,9.119512631015642,6.6349749552268245,0.3793284161490683,12.010036040302001,0.0
FinTech,2019,USA,Miami,Series A,15.62,155.08,26.83,1.14,12.6,70,0,70,Tier 3 (Angel/Seed),High,Independent,7,2.810606789427302,5.050368696314856,3.326114575537799,0.22314285714285714,5.780096906448007,0.0
Generative AI,2020,UK,London,Seed,7.21,57.52,3.51,0.38,15.0,32,0,32,Tier 3 (Angel/Seed),High,Closed,6,2.105352923464337,4.069368576151923,1.506297153514587,0.2253125,16.38746438746439,0.0
ClimateTech,2020,USA,San Francisco,Series B,34.96,288.94,36.64,2.43,13.8,140,24,116,Tier 2 (Mid-size VC),High,IPO,6,3.5824072096034194,5.669674005022752,3.6280673147171787,0.30137931034482757,7.885917030567685,0.17142857142857143
Robotics,2021,Germany,Munich,Series B,7.28,32.31,1.58,0.54,11.4,41,0,41,Tier 3 (Angel/Seed),Medium,Independent,5,2.1138429683971687,3.5058576522055884,0.9477893989335261,0.17756097560975612,20.449367088607595,0.0
Robotics,2020,Canada,Montreal,Series B,4.86,44.78,3.32,0.42,9.3,28,0,28,Tier 2 (Mid-size VC),High,Independent,6,1.7681496035889213,3.8238473145244205,1.463255402256019,0.17357142857142857,13.487951807228917,0.0
FinTech,2022,France,Paris,Series B,11.97,65.35,7.46,1.18,9.4,63,47,16,Corporate VC (e.g. Google Ventures),High,Closed,4,2.5626389983283526,4.194943760778217,2.135349173618132,0.748125,8.760053619302948,0.746031746031746
ClimateTech,2014,USA,San Francisco,Seed,0.7,13.2,0.84,0.2,2.3,10,6,4,Tier 2 (Mid-size VC),High,Closed,12,0.5306282510621704,2.653241964607215,0.6097655716208943,0.175,15.714285714285714,0.6
HealthTech,2020,USA,San Francisco,Seed,1.14,27.58,1.54,0.12,5.2,9,4,5,Tier 3 (Angel/Seed),Low,Independent,6,0.76080582903376,3.3527071725017215,0.9321640810304452,0.22799999999999998,17.909090909090907,0.4444444444444444
Generative AI,2021,China,Beijing,Seed,5.9,59.04,4.44,0.53,9.4,33,0,33,Tier 3 (Angel/Seed),Medium,Independent,5,1.9315214116032138,4.095011006765261,1.6937790608678513,0.1787878787878788,13.297297297297296,0.0
Autonomous Vehicles,2017,USA,San Francisco,Series A,6.0,62.05,2.13,0.5,10.0,48,19,29,Tier 2 (Mid-size VC),Medium,Independent,9,1.9459101490553132,4.143928062410929,1.1410330045520618,0.20689655172413793,29.131455399061032,0.3958333333333333
Cybersecurity,2019,Germany,Munich,Seed,1.64,23.02,1.72,0.64,2.2,35,10,25,Corporate VC (e.g. Google Ventures),Medium,Independent,7,0.9707789171582248,3.1788868166518376,1.000631880307906,0.06559999999999999,13.383720930232558,0.2857142857142857
FinTech,2017,USA,Miami,Post-IPO,592.67,6592.18,750.8,22.29,26.5,1504,0,1504,"Tier 1 (e.g. Sequoia, a16z)",High,Independent,9,6.3863236094289215,8.793791060424219,6.622470331130078,0.3940625,8.78020777836974,0.0
HealthTech,2020,USA,Seattle,Series B,5.35,44.27,2.1,0.49,9.1,25,0,25,Tier 2 (Mid-size VC),Medium,Independent,6,1.8484548129046001,3.8126445614478675,1.1314021114911006,0.214,21.080952380952382,0.0
ClimateTech,2014,Japan,Tokyo,Series B,15.57,101.81,4.25,0.82,16.9,68,0,68,Tier 2 (Mid-size VC),Medium,Acquired,12,2.8075938314384716,4.632882624554627,1.6582280766035324,0.22897058823529412,23.95529411764706,0.0
Autonomous Vehicles,2020,USA,New York,Series A,4.15,28.38,3.22,0.78,4.7,41,14,27,Corporate VC (e.g. Google Ventures),High,Closed,6,1.6389967146756448,3.380314170745731,1.4398351280479207,0.1537037037037037,8.813664596273291,0.34146341463414637
Generative AI,2019,USA,Seattle,Series A,3.6,51.14,2.88,0.26,10.0,16,0,16,Corporate VC (e.g. Google Ventures),Medium,Independent,7,1.5260563034950492,3.9539324085053558,1.355835153635182,0.225,17.756944444444446,0.0
HealthTech,2020,France,Lyon,Series A,5.92,46.44,4.52,0.64,8.0,59,40,19,Corporate VC (e.g. Google Ventures),Low,Closed,6,1.9344157696295783,3.85946575468947,1.7083778602890038,0.31157894736842107,10.274336283185841,0.6779661016949152
Generative AI,2018,China,Shenzhen,Series A,23.46,117.71,5.37,0.94,22.6,75,0,75,Corporate VC (e.g. Google Ventures),Low,Independent,8,3.1970391302590264,4.776683544065443,1.851599469584072,0.3128,21.91992551210428,0.0
EdTech,2013,USA,Boston,Series A,13.16,146.38,8.7,0.39,26.9,27,0,27,Corporate VC (e.g. Google Ventures),Medium,Acquired,13,2.6504210882655737,4.9930142853388535,2.272125885509337,0.4874074074074074,16.82528735632184,0.0
Robotics,2020,USA,San Francisco,Series A,5.15,53.41,3.02,0.49,8.7,35,0,35,Tier 2 (Mid-size VC),High,Closed,6,1.8164520818184267,3.996547960497834,1.3912819026309295,0.14714285714285716,17.685430463576157,0.0
HealthTech,2020,Germany,Munich,Series C+,64.66,315.89,14.96,3.96,15.9,209,0,209,Tier 3 (Angel/Seed),Low,Independent,6,4.184489912073446,5.758554710503181,2.7700855920216627,0.309377990430622,21.115641711229944,0.0
Autonomous Vehicles,2015,Singapore,Singapore,Series A,4.29,44.0,1.98,0.5,7.2,40,0,40,Corporate VC (e.g. Google Ventures),Medium,Closed,11,1.665818245870208,3.8066624897703196,1.091923300517313,0.10725,22.22222222222222,0.0
Autonomous Vehicles,2018,China,Beijing,Series C+,95.64,734.87,51.57,8.17,11.6,614,168,446,Tier 3 (Angel/Seed),High,Acquired,8,4.570992734186505,6.601053472693101,3.9621456148313565,0.21443946188340807,14.249951522202831,0.2736156351791531
SpaceTech,2020,Singapore,Singapore,Seed,10.96,101.15,3.85,0.59,15.9,39,0,39,Tier 3 (Angel/Seed),Low,Independent,6,2.481567748522486,4.626442321263631,1.5789787049493917,0.28102564102564104,26.272727272727273,0.0
ClimateTech,2020,USA,Austin,Series A,43.96,427.61,17.91,1.51,27.3,143,0,143,Tier 2 (Mid-size VC),Low,Independent,6,3.8057732055854356,6.0605474145451765,2.9396908826703663,0.3074125874125874,23.875488553880515,0.0
FinTech,2013,China,Hangzhou,Seed,1.38,23.23,1.98,0.29,3.5,16,11,5,Corporate VC (e.g. Google Ventures),Low,Acquired (Fire Sale),13,0.8671004876833833,3.1875915348284343,1.091923300517313,0.27599999999999997,11.732323232323232,0.6875
Robotics,2018,USA,Boston,Series A,3.62,26.29,1.26,0.21,11.7,13,7,6,Tier 3 (Angel/Seed),High,Acquired (Fire Sale),8,1.5303947050936475,3.306520334720247,0.8153648132841945,0.6033333333333334,20.865079365079364,0.5384615384615384
